Gene,Gene Name,Phenotype,Parameter
Mical2,[F-actin]-monooxygenase MICAL2,decreased lean body mass,Lean mass
Agpat4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,increased total body fat amount,Fat mass
Jmjd4,2-oxoglutarate and iron-dependent oxygenase JMJD4,increased lean body mass,Lean/Body weight
Ogdh,2-oxoglutarate dehydrogenase complex component E1,increased lean body mass,Lean/Body weight
Bckdhb,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",increased total body fat amount,Fat mass
Pxylp1,2-phosphoxylose phosphatase 1,decreased lean body mass,Lean Mass
Ythdc2,3'-5' RNA helicase YTHDC2,increased total body fat amount,Fat/Body weight
Coq2,"4-hydroxybenzoate polyprenyltransferase, mitochondrial",increased total body fat amount,Fat/Body weight
Htr1b,5-hydroxytryptamine receptor 1B,increased lean body mass,Lean mass
Htr2b,5-hydroxytryptamine receptor 2B,increased total body fat amount,Fat mass
Adamts16,A disintegrin and metalloproteinase with thrombospondin motifs 16,increased total body fat amount,Fat/Body weight
Aspm,Abnormal spindle-like microcephaly-associated protein homolog,increased total body fat amount,Fat mass
Ablim1,Actin-binding LIM protein 1,increased lean body mass,Lean/Body weight
Ascc3,Activating signal cointegrator 1 complex subunit 3,increased total body fat amount,Fat mass
Acbd5,Acyl-CoA-binding domain-containing protein 5,increased lean body mass,Lean/Body weight
Acyp1,Acylphosphatase-1,increased lean body mass,Lean mass
Adora1,Adenosine receptor A1,increased lean body mass,Lean/Body weight
Adora2a,Adenosine receptor A2a,increased total body fat amount,Fat mass
Adcy3,Adenylate cyclase type 3,increased total body fat amount,Fat/Body weight
Apmap,Adipocyte plasma membrane-associated protein,increased total body fat amount,Fat mass
Adpgk,ADP-dependent glucokinase,increased lean body mass,Lean/Body weight
Arl10,ADP-ribosylation factor-like protein 10,increased total body fat amount,Fat/Body weight
Adprs,ADP-ribosylhydrolase ARH3,increased lean body mass,Lean mass
Akap9,A-kinase anchor protein 9,increased lean body mass,Lean Mass
Aars1,"Alanine--tRNA ligase, cytoplasmic",increased lean body mass,Lean mass
Aldh3b1,Aldehyde dehydrogenase family 3 member B1,decreased lean body mass,Lean mass
Aldh2,"Aldehyde dehydrogenase, mitochondrial",increased lean body mass,Lean Mass
Pdss2,All trans-polyprenyl-diphosphate synthase PDSS2,increased total body fat amount,Fat mass
Aif1,Allograft inflammatory factor 1,decreased lean body mass,Lean mass
Fut4,"Alpha-(1,3)-fucosyltransferase 4",increased total body fat amount,Fat mass
Alg9,"Alpha-1,2-mannosyltransferase ALG9",increased total body fat amount,Fat/Body weight
Ensa,Alpha-endosulfine,increased lean body mass,Lean/Body weight
Mrps36,Alpha-ketoglutarate dehydrogenase component 4,increased total body fat amount,Fat/Body weight
Alpk2,Alpha-protein kinase 2,increased total body fat amount,Fat/Body weight
Slc3a1,Amino acid transporter heavy chain SLC3A1,increased lean body mass,Lean/Body weight
Ampd3,AMP deaminase 3,increased lean body mass,Lean Mass
Apbb3,Amyloid-beta A4 precursor protein-binding family B member 3,increased lean body mass,Lean/Body weight
Anapc7,Anaphase-promoting complex subunit 7,increased total body fat amount,Fat mass
Ace2,Angiotensin-converting enzyme 2,increased total body fat amount,Fat/Body weight
Asb2,Ankyrin repeat and SOCS box protein 2,increased lean body mass,Lean/Body weight
Ankrd10,Ankyrin repeat domain-containing protein 10,increased total body fat amount,Fat/Body weight
Ankrd13a,Ankyrin repeat domain-containing protein 13A,increased total body fat amount,Fat mass
Ankrd9,Ankyrin repeat domain-containing protein 9,increased lean body mass,Lean/Body weight
Anxa6,Annexin A6,increased lean body mass,Lean Mass
Ap1g1,AP-1 complex subunit gamma-1,increased total body fat amount,Fat mass
Ap1g2,AP-1 complex subunit gamma-like 2,decreased lean body mass,Lean mass
Ap4e1,AP-4 complex subunit epsilon-1,increased lean body mass,Lean/Body weight
Apoe,Apolipoprotein E,increased total body fat amount,Fat mass
Aqp1,Aquaporin-1,increased lean body mass,Lean/Body weight
Aqp3,Aquaporin-3,increased lean body mass,Lean/Body weight
Pnisr,Arginine/serine-rich protein PNISR,decreased lean body mass,Lean mass
Cyp19a1,Aromatase,increased total body fat amount,Fat mass
Arsj,Arylsulfatase J,increased lean body mass,Lean/Body weight
Atl2,Atlastin-2,increased total body fat amount,Fat mass
Abcd3,ATP-binding cassette sub-family D member 3,increased lean body mass,Lean/Body weight
Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",increased lean body mass,Lean mass
Clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",increased total body fat amount,Fat mass
Dhx29,ATP-dependent RNA helicase DHX29,decreased lean body mass,Lean mass
Arid4b,AT-rich interactive domain-containing protein 4B,increased lean body mass,Lean mass
Auts2,Autism susceptibility gene 2 protein homolog,increased lean body mass,Lean/Body weight
Epb41l1,Band 4.1-like protein 1,increased lean body mass,Lean/Body weight
Epb41l5,Band 4.1-like protein 5,increased lean body mass,Lean mass
Bbs2,BBSome complex member BBS2,decreased lean body mass,Lean/Body weight
Bbs5,BBSome complex member BBS5,increased total body fat amount,Fat/Body weight
Bnip2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,increased lean body mass,Lean/Body weight
Ntrk2,BDNF/NT-3 growth factors receptor,increased lean body mass,Lean mass
Becn1,Beclin-1,increased total body fat amount,Fat/Body weight
Bhmt,Betaine--homocysteine S-methyltransferase 1,increased lean body mass,Lean mass
Upb1,Beta-ureidopropionase,increased total body fat amount,Fat/Body weight
Kdm8,Bifunctional peptidase and arginyl-hydroxylase JMJD5,increased body weight,Body Weight
Bicral,BRD4-interacting chromatin-remodeling complex-associated protein-like,increased total body fat amount,Fat mass
Brms1l,Breast cancer metastasis-suppressor 1-like protein,increased total body fat amount,Fat mass
Baz2b,Bromodomain adjacent to zinc finger domain protein 2B,increased total body fat amount,Fat mass
Tnfaip1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,increased total body fat amount,Fat mass
Btbd7,BTB/POZ domain-containing protein 7,decreased lean body mass,Lean/Body weight
Bud13,BUD13 homolog,decreased lean body mass,Lean mass
Celsr1,Cadherin EGF LAG seven-pass G-type receptor 1,increased lean body mass,Lean/Body weight
Cdh1,Cadherin-1,increased body weight,Body Weight
Cdh10,Cadherin-10,increased lean body mass,Lean mass
Cdh23,Cadherin-23,increased lean body mass,Lean/Body weight
Rcan1,Calcipressin-1,increased lean body mass,Lean/Body weight
Tmem63c,Calcium permeable stress-gated cation channel 1,increased total body fat amount,Fat mass
Mcu,"Calcium uniporter protein, mitochondrial",increased total body fat amount,Fat mass
Micu1,"Calcium uptake protein 1, mitochondrial",increased total body fat amount,Fat/Body weight
Micu3,"Calcium uptake protein 3, mitochondrial",increased lean body mass,Lean/Body weight
Camk1,Calcium/calmodulin-dependent protein kinase type 1,increased lean body mass,Lean mass
Camk1d,Calcium/calmodulin-dependent protein kinase type 1D,increased total body fat amount,Fat mass
Camsap3,Calmodulin-regulated spectrin-associated protein 3,increased total body fat amount,Fat mass
Cmtr2,Cap-specific mRNA,increased lean body mass,Lean/Body weight
Ydjc,Carbohydrate deacetylase,increased lean body mass,Lean mass
