Gene,Gene Name,Phenotype,Parameter
Hsd17b8,(3R)-3-hydroxyacyl-CoA dehydrogenase,increased fasting circulating glucose level,Fasted blood glucose concentration
Pdp1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",improved glucose tolerance,Area under glucose response curve
Agpat4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,increased fasting circulating glucose level,Fasted blood glucose concentration
Plcz1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1",increased fasting circulating glucose level,Fasted blood glucose concentration
Nsun5,28S rRNA,increased fasting circulating glucose level,Fasted blood glucose concentration
Haao,"3-hydroxyanthranilate 3,4-dioxygenase",increased circulating glucose level,Glucose
Thap12,52 kDa repressor of the inhibitor of the protein kinase,increased circulating glucose level,Glucose
Prkab1,5'-AMP-activated protein kinase subunit beta-1,impaired glucose tolerance,Initial response to glucose challenge
Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",increased fasting circulating glucose level,Fasted blood glucose concentration
Abi2,Abl interactor 2,increased fasting circulating glucose level,Fasted blood glucose concentration
Zfyve19,Abscission/NoCut checkpoint regulator,increased circulating glucose level,Glucose
Afap1l2,Actin filament-associated protein 1-like 2,improved glucose tolerance,Initial response to glucose challenge
Fads1,Acyl-CoA,improved glucose tolerance,Initial response to glucose challenge
Acbd5,Acyl-CoA-binding domain-containing protein 5,improved glucose tolerance,Area under glucose response curve
Acoxl,Acyl-coenzyme A oxidase-like protein,improved glucose tolerance,Initial response to glucose challenge
Acyp1,Acylphosphatase-1,increased circulating glucose level,Glucose
Adora2a,Adenosine receptor A2a,increased circulating glucose level,Glucose
Adora2b,Adenosine receptor A2b,increased fasting circulating glucose level,Fasted blood glucose concentration
Adcy1,Adenylate cyclase type 1,improved glucose tolerance,Area under glucose response curve
Adgra1,Adhesion G protein-coupled receptor A1,improved glucose tolerance,Area under glucose response curve
Adgrf5,Adhesion G protein-coupled receptor F5,impaired glucose tolerance,Initial response to glucose challenge
Slc25a4,ADP/ATP translocase 1,improved glucose tolerance,Area under glucose response curve
Macrod2,ADP-ribose glycohydrolase MACROD2,increased fasting circulating glucose level,Fasted blood glucose concentration
Arl8b,ADP-ribosylation factor-like protein 8B,increased fasting circulating glucose level,Fasted blood glucose concentration
Akap13,A-kinase anchor protein 13,improved glucose tolerance,Initial response to glucose challenge
Abhd17a,Alpha/beta hydrolase domain-containing protein 17A,improved glucose tolerance,Area under glucose response curve
Adra2a,Alpha-2A adrenergic receptor,improved glucose tolerance,Area under glucose response curve
Snca,Alpha-synuclein,increased fasting circulating glucose level,Fasted blood glucose concentration
Anapc7,Anaphase-promoting complex subunit 7,impaired glucose tolerance,Area under glucose response curve
Angptl3,Angiopoietin-related protein 3,increased fasting circulating glucose level,Fasted blood glucose concentration
Abtb1,Ankyrin repeat and BTB/POZ domain-containing protein 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Ankib1,Ankyrin repeat and IBR domain-containing protein 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Asb7,Ankyrin repeat and SOCS box protein 7,increased fasting circulating glucose level,Fasted blood glucose concentration
Atr,Anthrax toxin receptor 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Rigi,Antiviral innate immune response receptor RIG-I,impaired glucose tolerance,Area under glucose response curve
Ap2a1,AP-2 complex subunit alpha-1,improved glucose tolerance,Initial response to glucose challenge
Aak1,AP2-associated protein kinase 1,impaired glucose tolerance,Initial response to glucose challenge
Ap3s1,AP-3 complex subunit sigma-1,increased fasting circulating glucose level,Fasted blood glucose concentration
Ap4e1,AP-4 complex subunit epsilon-1,impaired glucose tolerance,Area under glucose response curve
Apoc4,Apolipoprotein C-IV,impaired glucose tolerance,Initial response to glucose challenge
Blcap,Apoptosis inducing factor BLCAP,increased fasting circulating glucose level,Fasted blood glucose concentration
Siva1,Apoptosis regulatory protein Siva,increased fasting circulating glucose level,Fasted blood glucose concentration
Aifm3,Apoptosis-inducing factor 3,increased fasting circulating glucose level,Fasted blood glucose concentration
Arel1,Apoptosis-resistant E3 ubiquitin protein ligase 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Aqp1,Aquaporin-1,impaired glucose tolerance,Initial response to glucose challenge
Cyp19a1,Aromatase,increased fasting circulating glucose level,Fasted blood glucose concentration
Arrdc1,Arrestin domain-containing protein 1,increased fasting circulating glucose level,Fasted blood glucose concentration
Aspa,Aspartoacylase,increased fasting circulating glucose level,Fasted blood glucose concentration
Atp5mc2,"ATP synthase F(0) complex subunit C2, mitochondrial",increased fasting circulating glucose level,Fasted blood glucose concentration
Atp5po,"ATP synthase peripheral stalk subunit OSCP, mitochondrial",improved glucose tolerance,Area under glucose response curve
Abca7,ATP-binding cassette sub-family A member 7,increased fasting circulating glucose level,Fasted blood glucose concentration
Abcc5,ATP-binding cassette sub-family C member 5,impaired glucose tolerance,Area under glucose response curve
Abcd3,ATP-binding cassette sub-family D member 3,improved glucose tolerance,Area under glucose response curve
Dhx29,ATP-dependent RNA helicase DHX29,impaired glucose tolerance,Initial response to glucose challenge
Dhx30,ATP-dependent RNA helicase DHX30,increased fasting circulating glucose level,Fasted blood glucose concentration
Kcnj11,ATP-sensitive inward rectifier potassium channel 11,impaired glucose tolerance,Area under glucose response curve
Coq8b,"Atypical kinase COQ8B, mitochondrial",impaired glucose tolerance,Area under glucose response curve
Bag2,BAG family molecular chaperone regulator 2,increased fasting circulating glucose level,Fasted blood glucose concentration
Epb41l1,Band 4.1-like protein 1,improved glucose tolerance,Area under glucose response curve
Bbs5,BBSome complex member BBS5,impaired glucose tolerance,Area under glucose response curve
Bcl11b,B-cell lymphoma/leukemia 11B,increased fasting circulating glucose level,Fasted blood glucose concentration
Bnip3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,impaired glucose tolerance,Area under glucose response curve
Eno3,Beta-enolase,impaired glucose tolerance,Area under glucose response curve
Sncb,Beta-synuclein,impaired glucose tolerance,Initial response to glucose challenge
Baat,Bile acid-CoA:amino acid N-acyltransferase,improved glucose tolerance,Area under glucose response curve
Bloc1s6,Biogenesis of lysosome-related organelles complex 1 subunit 6,improved glucose tolerance,Initial response to glucose challenge
Bola2,BolA-like protein 2,improved glucose tolerance,Initial response to glucose challenge
Bmp10,Bone morphogenetic protein 10,improved glucose tolerance,Area under glucose response curve
Bpifc,BPI fold-containing family C protein,impaired glucose tolerance,Area under glucose response curve
Emsy,BRCA2-interacting transcriptional repressor EMSY,impaired glucose tolerance,Initial response to glucose challenge
Bltp1,Bridge-like lipid transfer protein family member 1,impaired glucose tolerance,Initial response to glucose challenge
Brd7,Bromodomain-containing protein 7,increased circulating glucose level,Glucose
Tnfaip1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,increased circulating glucose level,Glucose
Btbd9,BTB/POZ domain-containing protein 9,increased fasting circulating glucose level,Fasted blood glucose concentration
Kctd7,BTB/POZ domain-containing protein KCTD7,increased fasting circulating glucose level,Fasted blood glucose concentration
Mcu,"Calcium uniporter protein, mitochondrial",increased fasting circulating glucose level,Fasted blood glucose concentration
Camk2b,Calcium/calmodulin-dependent protein kinase type II subunit beta,improved glucose tolerance,Area under glucose response curve
Cabp5,Calcium-binding protein 5,impaired glucose tolerance,Area under glucose response curve
Capn11,Calpain-11,impaired glucose tolerance,Area under glucose response curve
Capn12,Calpain-12,increased circulating glucose level,Glucose
Carmil2,"Capping protein, Arp2/3 and myosin-I linker protein 2",increased circulating glucose level,Glucose
Car13,Carbonic anhydrase 13,impaired glucose tolerance,Initial response to glucose challenge
Cpd,Carboxypeptidase D,impaired glucose tolerance,Area under glucose response curve
Cpe,Carboxypeptidase E,impaired glucose tolerance,Area under glucose response curve
Csnk1g2,Casein kinase I isoform gamma-2,increased circulating glucose level,Glucose
Casp4,Caspase-4,increased circulating glucose level,Glucose
Ctsm,Cathepsin M,increased fasting circulating glucose level,Fasted blood glucose concentration
Ctif,CBP80/20-dependent translation initiation factor,improved glucose tolerance,Initial response to glucose challenge
Cibar1,CBY1-interacting BAR domain-containing protein 1,improved glucose tolerance,Area under glucose response curve
Ccr9,C-C chemokine receptor type 9,impaired glucose tolerance,Area under glucose response curve
