Gene ,Gene Name,miRNA ,Target Score,Human
Fzd7,frizzled class receptor 7,miR-3470a,99,✓
Lrrc19,leucine rich repeat containing 19,miR-3470a,99,✓
Srprb,"signal recognition particle receptor, B subunit",miR-3470a,98,✓
Arntl,aryl hydrocarbon receptor nuclear translocator-like,miR-3470a,98,✓
Cln5,"ceroid-lipofuscinosis, neuronal 5",miR-3470a,98,✓
E2f4,E2F transcription factor 4,miR-1291,98,✓
Bfar,bifunctional apoptosis regulator,miR-3470b,97,✓
Galnt2,polypeptide N-acetylgalactosaminyltransferase 2,miR-3470b,97,✓
Pde5a,"phosphodiesterase 5A, cGMP-specific",miR-3470a,97,✓
Serp1,stress-associated endoplasmic reticulum protein 1,miR-3470a,97,✓
Sos2,SOS Ras/Rho guanine nucleotide exchange factor 2,miR-3470a,97,✓
Dnajc16,DnaJ heat shock protein family (Hsp40) member C16,miR-1291,97,✓
Zfp345,zinc finger protein 345,miR-3535,96,
Stum,mechanosensory transduction mediator,miR-3470b,96,✓
Hsbp1,heat shock factor binding protein 1,miR-3470a,96,✓
Ube2q2,ubiquitin-conjugating enzyme E2Q family member 2,miR-1291,96,✓
Itpr1,"inositol 1,4,5-trisphosphate receptor 1",miR-1291,96,✓
Wsb1,WD repeat and SOCS box-containing 1,miR-1291,96,✓
Pira1,paired-Ig-like receptor A1,miR-3535,95,
Pira2,paired-Ig-like receptor A2,miR-3535,95,
Olfm3,olfactomedin 3,miR-3470b,95,✓
Eif3j2,"eukaryotic translation initiation factor 3, subunit J2",miR-3470b,95,
Krcc1,lysine-rich coiled-coil 1,miR-3470a,95,✓
St3gal1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",miR-3470a,95,✓
Emx2,empty spiracles homeobox 2,miR-3470a,95,✓
Pms1,"PMS1 homolog 1, mismatch repair system component",miR-3470a,95,✓
Scpep1,serine carboxypeptidase 1,miR-3470a,95,✓
Zfp120,zinc finger protein 120,miR-3535,94,
Glyctk,glycerate kinase,miR-3470b,94,✓
Rnf111,ring finger 111,miR-3470b,94,✓
Lrfn5,leucine rich repeat and fibronectin type III domain containing 5,miR-3470b,94,✓
Prdm8,PR domain containing 8,miR-3470a,94,✓
Ctps2,cytidine 5'-triphosphate synthase 2,miR-3470a,94,✓
Igsf6,"immunoglobulin superfamily, member 6",miR-3470a,94,✓
Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",miR-3470a,94,✓
Ulk2,unc-51 like kinase 2,miR-3470a,94,✓
R3hdm1,R3H domain containing 1,miR-3470a,94,✓
Zfp292,zinc finger protein 292,miR-3470a,94,
Retreg1,reticulophagy regulator 1,miR-3470a,94,✓
Yme1l1,YME1-like 1 (S. cerevisiae),miR-3470a,94,✓
Ano5,anoctamin 5,miR-3470a,94,✓
Ctsc,cathepsin C,miR-1291,94,✓
Phf20,PHD finger protein 20,miR-1291,94,✓
Mmachc,"methylmalonic aciduria cblC type, with homocystinuria",miR-3535,93,✓
Serpinb3c,"serine (or cysteine) peptidase inhibitor, clade B, member 3C",miR-3535,93,
Dph2,DPH2 homolog,miR-3470b,93,✓
Zbed6,"zinc finger, BED type containing 6",miR-3470a,93,✓
Cdh2,cadherin 2,miR-3470a,93,✓
Zfp281,zinc finger protein 281,miR-3470a,93,
Ripor2,RHO family interacting cell polarization regulator 2,miR-3470a,93,✓
Ribc2,RIB43A domain with coiled-coils 2,miR-3470a,93,✓
Asxl2,"additional sex combs like 2, transcriptional regulator",miR-3470a,93,✓
Sgsm2,small G protein signaling modulator 2,miR-3470a,93,✓
Lrrtm2,leucine rich repeat transmembrane neuronal 2,miR-1291,93,✓
Birc6,baculoviral IAP repeat-containing 6,miR-1291,93,✓
Sycp1,synaptonemal complex protein 1,miR-1291,93,✓
Phip,pleckstrin homology domain interacting protein,miR-3535,92,✓
Serpinb3b,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3B",miR-3535,92,
Faah,fatty acid amide hydrolase,miR-3535,92,✓
Mb21d2,Mab-21 domain containing 2,miR-3535,92,✓
Esco2,establishment of sister chromatid cohesion N-acetyltransferase 2,miR-3535,92,✓
Serpinb3a,"serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 3A",miR-3535,92,
Polr1e,polymerase (RNA) I polypeptide E,miR-3470b,92,✓
Tab3,TGF-beta activated kinase 1/MAP3K7 binding protein 3,miR-3470b,92,✓
Tlnrd1,talin rod domain containing 1,miR-3470b,92,✓
Ncoa4,nuclear receptor coactivator 4,miR-3470a,92,✓
Snap91,synaptosomal-associated protein 91,miR-3470a,92,✓
Dek,DEK oncogene (DNA binding),miR-3470a,92,✓
Zfp423,zinc finger protein 423,miR-3470a,92,
Nr2e1,"nuclear receptor subfamily 2, group E, member 1",miR-3470a,92,✓
P2ry10b,"purinergic receptor P2Y, G-protein coupled 10B",miR-3470a,92,
Ppp6r3,"protein phosphatase 6, regulatory subunit 3",miR-3470a,92,✓
Adam12,a disintegrin and metallopeptidase domain 12 (meltrin alpha),miR-1291,92,✓
Tsc22d2,"TSC22 domain family, member 2",miR-1291,92,✓
Ccdc50,coiled-coil domain containing 50,miR-1291,92,✓
Cnot4,"CCR4-NOT transcription complex, subunit 4",miR-1291,92,✓
Rab7,"RAB7, member RAS oncogene family",miR-1291,92,✓
Bivm,"basic, immunoglobulin-like variable motif containing",miR-3535,91,✓
Acat1,acetyl-Coenzyme A acetyltransferase 1,miR-3535,91,✓
Slitrk1,"SLIT and NTRK-like family, member 1",miR-3535,91,✓
Egfl6,"EGF-like-domain, multiple 6",miR-3535,91,✓
Slfn5,schlafen 5,miR-3470b,91,✓
Inip,INTS3 and NABP interacting protein,miR-3470b,91,✓
Gsc,goosecoid homeobox,miR-3470a,91,✓
Uri1,"URI1, prefoldin-like chaperone",miR-3470a,91,✓
Mga,MAX gene associated,miR-3470a,91,✓
Gdi1,guanosine diphosphate (GDP) dissociation inhibitor 1,miR-3470a,91,✓
Onecut2,"one cut domain, family member 2",miR-3470a,91,✓
Slc12a2,"solute carrier family 12, member 2",miR-3470a,91,✓
Insig1,insulin induced gene 1,miR-3470a,91,✓
0610040J01Rik,RIKEN cDNA 0610040J01 gene,miR-1291,91,
Nr5a2,"nuclear receptor subfamily 5, group A, member 2",miR-1291,91,✓
Slc25a15,"solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15",miR-1291,91,✓
Slc5a12,"solute carrier family 5 (sodium/glucose cotransporter), member 12",miR-3535,90,✓
Ppp1r16b,"protein phosphatase 1, regulatory subunit 16B",miR-3470b,90,✓
Serpine1,"serine (or cysteine) peptidase inhibitor, clade E, member 1",miR-3470b,90,✓
Ell2,elongation factor RNA polymerase II 2,miR-3470a,90,✓
Mex3a,mex3 RNA binding family member A,miR-3470a,90,✓
Xpo1,exportin 1,miR-3470a,90,✓
Erich5,glutamate rich 5,miR-3470a,90,✓
Socs2,suppressor of cytokine signaling 2,miR-3470a,90,✓
Tead1,TEA domain family member 1,miR-3470a,90,✓
Nfatc2,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2",miR-3470a,90,✓
Dido1,death inducer-obliterator 1,miR-3470a,90,✓
Slc39a10,"solute carrier family 39 (zinc transporter), member 10",miR-1291,90,✓
Pds5b,PDS5 cohesin associated factor B,miR-1291,90,✓
Optc,opticin,miR-1291,90,✓
Rnf14,ring finger protein 14,miR-1291,90,✓
Phb,prohibitin,miR-3535,89,✓
Retreg3,reticulophagy regulator family member 3,miR-3535,89,✓
Mta3,metastasis associated 3,miR-3535,89,✓
Mbnl2,muscleblind like splicing factor 2,miR-3535,89,✓
Pcdh9,protocadherin 9,miR-3535,89,✓
Adamts9,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9",miR-3470b,89,✓
Eif3j1,"eukaryotic translation initiation factor 3, subunit J1",miR-3470b,89,
Nkain2,Na+/K+ transporting ATPase interacting 2,miR-3470b,89,✓
Wdr43,WD repeat domain 43,miR-3470a,89,✓
Arrdc3,arrestin domain containing 3,miR-3470a,89,✓
Spock3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3",miR-3470a,89,✓
Pdik1l,PDLIM1 interacting kinase 1 like,miR-3470a,89,✓
Jam2,junction adhesion molecule 2,miR-3470a,89,✓
Maged1,"melanoma antigen, family D, 1",miR-3470a,89,✓
Edem3,"ER degradation enhancer, mannosidase alpha-like 3",miR-1291,89,✓
Pdxk,"pyridoxal (pyridoxine, vitamin B6) kinase",miR-1291,89,✓
Anp32b,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B",miR-1291,89,✓
Eif2d,eukaryotic translation initiation factor 2D,miR-1291,89,✓
Nras,neuroblastoma ras oncogene,miR-1291,89,✓
Max,Max protein,miR-1291,89,✓
Zfp35,zinc finger protein 35,miR-1291,89,
Llcfc1,LLLL and CFNLAS motif containing 1,miR-3535,88,✓
Abca8a,"ATP-binding cassette, sub-family A (ABC1), member 8a",miR-3535,88,
Srsf10,serine/arginine-rich splicing factor 10,miR-3535,88,✓
Wnt2b,"wingless-type MMTV integration site family, member 2B",miR-3470b,88,✓
Armcx2,"armadillo repeat containing, X-linked 2",miR-3470b,88,✓
Lysmd3,"LysM, putative peptidoglycan-binding, domain containing 3",miR-3470b,88,✓
Taf1,TATA-box binding protein associated factor 1,miR-3470b,88,✓
Cd59b,CD59b antigen,miR-3470b,88,
Sdccag8,serologically defined colon cancer antigen 8,miR-3470b,88,✓
Mstn,myostatin,miR-3470b,88,✓
Zgpat,"zinc finger, CCCH-type with G patch domain",miR-3470a,88,✓
Tmem127,transmembrane protein 127,miR-3470a,88,✓
Tusc3,tumor suppressor candidate 3,miR-3470a,88,✓
Dtd2,D-tyrosyl-tRNA deacylase 2,miR-3470a,88,✓
Cpne3,copine III,miR-3470a,88,✓
Mfap3,microfibrillar-associated protein 3,miR-3470a,88,✓
Flrt3,fibronectin leucine rich transmembrane protein 3,miR-3470a,88,✓
Fktn,fukutin,miR-3470a,88,✓
S1pr1,sphingosine-1-phosphate receptor 1,miR-3470a,88,✓
Zc3h6,zinc finger CCCH type containing 6,miR-3470a,88,✓
Hoxa4,homeobox A4,miR-3470a,88,✓
Gabrg2,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2",miR-1291,88,✓
Aadacl3,arylacetamide deacetylase like 3,miR-1291,88,✓
Adpgk,ADP-dependent glucokinase,miR-1291,88,✓
Adcy1,adenylate cyclase 1,miR-1291,88,✓
Gm17359,"predicted gene, 17359",miR-1291,88,
Ppp2r2a,"protein phosphatase 2, regulatory subunit B, alpha",miR-3535,87,✓
Col4a5,"collagen, type IV, alpha 5",miR-3535,87,✓
Fndc4,fibronectin type III domain containing 4,miR-3535,87,✓
Jag1,jagged 1,miR-3470b,87,✓
Cnnm1,cyclin M1,miR-3470b,87,✓
Psmd9,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9",miR-3470b,87,✓
Srpr,signal recognition particle receptor ('docking protein'),miR-3470b,87,✓
Heatr5a,HEAT repeat containing 5A,miR-3470b,87,✓
Zfp260,zinc finger protein 260,miR-3470b,87,✓
Scml2,Scm polycomb group protein like 2,miR-3470b,87,✓
Ankrd33,ankyrin repeat domain 33,miR-3470a,87,✓
Zfp521,zinc finger protein 521,miR-3470a,87,
Ppp1r14c,"protein phosphatase 1, regulatory inhibitor subunit 14C",miR-3470a,87,✓
Ubtfl1,"upstream binding transcription factor, RNA polymerase I-like 1",miR-3470a,87,✓
Etnppl,ethanolamine phosphate phospholyase,miR-3470a,87,✓
