Gene,Gene Name,Phenotype,Parameter
Adamts15,A disintegrin and metalloproteinase with thrombospondin motifs 15,increased circulating insulin level,Insulin
Adcy9,Adenylate cyclase type 9,increased circulating insulin level,Insulin
Adgrb1,Adhesion G protein-coupled receptor B1,increased circulating insulin level,Insulin
Slc25a4,ADP/ATP translocase 1,increased circulating insulin level,Insulin
Arid3a,AT-rich interactive domain-containing protein 3A,increased circulating insulin level,Insulin
Bnip3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,increased circulating insulin level,Insulin
Jmjd7,Bifunctional peptidase and,increased circulating insulin level,Insulin
Bcar3,Breast cancer anti-estrogen resistance protein 3 homolog,increased circulating insulin level,Insulin
Casp4,Caspase-4,increased circulating insulin level,Insulin
Cog3,Conserved oligomeric Golgi complex subunit 3,increased circulating insulin level,Insulin
Celf4,CUGBP Elav-like family member 4,increased circulating insulin level,Insulin
Cxcr1,C-X-C chemokine receptor type 1,increased circulating insulin level,Insulin
Pold3,DNA polymerase delta subunit 3,increased circulating insulin level,Insulin
Dusp3,Dual specificity protein phosphatase 3,increased circulating insulin level,Insulin
Pias2,E3 SUMO-protein ligase PIAS2,increased circulating insulin level,Insulin
Cd248,Endosialin,increased circulating insulin level,Insulin
Elk1,ETS domain-containing protein Elk-1,increased circulating insulin level,Insulin
Exosc8,Exosome complex component RRP43,increased circulating insulin level,Insulin
Fbf1,Fas-binding factor 1,increased circulating insulin level,Insulin
Gcgr,Glucagon receptor,decreased circulating insulin level,Insulin
Glt8d2,Glycosyltransferase 8 domain-containing protein 2,increased circulating insulin level,Insulin
Gnl3,Guanine nucleotide-binding protein-like 3,increased circulating insulin level,Insulin
Asf1a,Histone chaperone ASF1A,increased circulating insulin level,Insulin
Lipe,Hormone-sensitive lipase,increased circulating insulin level,Insulin
Ipo7,Importin-7,increased circulating insulin level,Insulin
Kmt2e,Inactive histone-lysine N-methyltransferase 2E,increased circulating insulin level,Insulin
Larp4b,La-related protein 4B,increased circulating insulin level,Insulin
Lmod3,Leiomodin-3,increased circulating insulin level,Insulin
Mrap2,Melanocortin-2 receptor accessory protein 2,increased circulating insulin level,Insulin
Selenbp1,Methanethiol oxidase,increased circulating insulin level,Insulin
Nacad,NAC-alpha domain-containing protein 1,increased circulating insulin level,Insulin
Ndufb9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,increased circulating insulin level,Insulin
Pvr,Nectin-2,increased circulating insulin level,Insulin
Ncald,Neurocalcin-delta,increased circulating insulin level,Insulin
Dcx,Neuronal migration protein doublecortin,increased circulating insulin level,Insulin
Ncoa2,Nuclear receptor coactivator 2,increased circulating insulin level,Insulin
Nudcd3,NudC domain-containing protein 3,increased circulating insulin level,Insulin
Ppy,Pancreatic polypeptide prohormone [Cleaved into: Pancreatic polypeptide,increased circulating insulin level,Insulin
Palb2,Partner and localizer of BRCA2,increased circulating insulin level,Insulin
Farsa,Phenylalanine--tRNA ligase alpha subunit,increased circulating insulin level,Insulin
Plet1,Placenta-expressed transcript 1 protein,increased circulating insulin level,Insulin
Alg2,Programmed cell death protein 6,increased circulating insulin level,Insulin
Sec61b,Protein transport protein Sec61 subunit beta,increased circulating insulin level,Insulin
Rabl2,Rab-like protein 2A,increased circulating insulin level,Insulin
Rab15,Ras-related protein Rab-15,decreased circulating insulin level,Insulin
Rbmx,"RNA-binding motif protein, X chromosome",increased circulating insulin level,Insulin
Prkd1,Serine/threonine-protein kinase D1,increased circulating insulin level,Insulin
Sfxn3,Sideroflexin-3,increased circulating insulin level,Insulin
Stoml2,"Stomatin-like protein 2, mitochondrial",increased circulating insulin level,Insulin
Txndc5,Thioredoxin domain-containing protein 5,increased circulating insulin level,Insulin
Trappc10,Trafficking protein particle complex subunit 10,increased circulating insulin level,Insulin
Trappc9,Trafficking protein particle complex subunit 9,increased circulating insulin level,Insulin
Tcf20,Transcription factor 20,increased circulating insulin level,Insulin
Tmem163,Transmembrane protein 163,increased circulating insulin level,Insulin
Usp1,Ubiquitin carboxyl-terminal hydrolase 1,increased circulating insulin level,Insulin
Cacna1f,Voltage-dependent L-type calcium channel subunit alpha-1F,increased circulating insulin level,Insulin
Wdr37,WD repeat-containing protein 37,increased circulating insulin level,Insulin
Pepd,Xaa-Pro dipeptidase,increased circulating insulin level,Insulin
Zbtb32,Zinc finger and BTB domain-containing protein 32,increased circulating insulin level,Insulin
Paupar,,increased circulating insulin level,Insulin
Psg27,Pregnancy-specific beta-1-glycoprotein 27,increased circulating insulin level,Insulin
Cpgi23001,,increased circulating insulin level,Insulin
Dnajc5g,DnaJ heat shock protein family,increased circulating insulin level,Insulin
Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,increased circulating insulin level,Insulin
Spryd3,SPRY domain containing 3,increased circulating insulin level,Insulin
F730043M19Rik,Uncharacterized protein,increased circulating insulin level,Insulin
Ankhd1,Ankyrin repeat and KH domain containing 1,increased circulating insulin level,Insulin
Acad12,"Acyl-Coenzyme A dehydrogenase family, member 12",increased circulating insulin level,Insulin
