Gene,GeneName,Type,miRNA,Phenotypes
1700030J22Rik,Uncharacterized protein,,miR-330-3p,increased circulating glucose level
2210408I21Rik,RIKEN cDNA 2210408I21 gene,,miR-3969; miR-30d-3p; miR-374b-3p; miR-30a-3p; miR-30e-3p; miR-146b-3p,increased total body fat amount; impaired glucose tolerance
3425401B19Rik,,,miR-23b-3p; miR-23a-3p,decreased lean body mass
4930447C04Rik,Six6os1 protein,,miR-3473f,increased total body fat amount
A830018L16Rik,A830018L16Rik protein,,miR-25-3p; miR-3473f; miR-92b-3p; miR-21a-3p; miR-183-3p; let-7f-2-3p; miR-21b,increased fasting circulating glucose level
Aak1,AP2-associated protein kinase 1,Kinase,miR-7222-3p; miR-3473e; miR-3969; miR-3473b; miR-743b-3p; miR-672-3p; miR-301a-3p; miR-93-3p; miR-200b-3p; let-7b-3p; miR-204-3p; miR-203-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-429-3p; miR-21b; miR-677-3p; miR-130b-3p; miR-486a-3p; miR-139-3p; miR-100-3p; miR-22-3p; miR-468-3p; miR-486b-3p; miR-191-3p; miR-125b-2-3p; let-7a-2-3p,impaired glucose tolerance
Aasdhppt,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Enzyme,miR-30d-3p; miR-205-3p; let-7f-2-3p; miR-30a-3p; miR-30e-3p,improved glucose tolerance
Abcc5,ATP-binding cassette sub-family C member 5,Transporter,miR-301a-3p; miR-672-3p; let-7g-3p; miR-130b-3p; miR-741-3p; let-7a-2-3p,impaired glucose tolerance
Abcd3,ATP-binding cassette sub-family D member 3,Transporter,let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-100-3p,increased lean body mass; improved glucose tolerance
Abhd14a,Protein ABHD14A,Enzyme,miR-203-3p,improved glucose tolerance
Abhd16a,Phosphatidylserine lipase ABHD16A,Enzyme,miR-21a-3p,increased lean body mass
Abhd8,Protein ABHD8,Enzyme,let-7g-3p,increased total body fat amount
Abi2,Abl interactor 2,,miR-21a-3p; miR-23b-3p; miR-382-3p; miR-204-3p; miR-23a-3p; miR-652-3p,increased fasting circulating glucose level
Ablim1,Actin-binding LIM protein 1,,miR-3473d; miR-93-3p; miR-10b-3p,increased lean body mass
Abtb1,Ankyrin repeat and BTB/POZ domain-containing protein 1,Translation regulator,miR-100-3p,increased fasting circulating glucose level
Acbd5,Acyl-CoA-binding domain-containing protein 5,,miR-301a-3p; miR-142a-3p; miR-96-3p; miR-130b-3p; miR-340-3p,increased lean body mass; improved glucose tolerance
Acoxl,Acyl-coenzyme A oxidase-like protein,Enzyme,miR-204-3p,improved glucose tolerance
Acsl4,Long-chain-fatty-acid--CoA ligase 4,Enzyme,miR-301a-3p; let-7g-3p; miR-130b-3p; miR-669e-3p,increased total body fat amount
Acyp1,Acylphosphatase-1,Enzyme,miR-200b-3p; let-7b-3p; miR-200c-3p; miR-429-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,increased lean body mass; increased circulating glucose level
Adam32,Disintegrin and metalloproteinase domain-containing protein 32,,miR-93-3p,increased total body fat amount
Adamts15,A disintegrin and metalloproteinase with thrombospondin motifs 15,Peptidase,miR-3470a; miR-152-3p; miR-148a-3p; miR-203-3p; miR-148b-3p,increased circulating insulin level
Adamts16,A disintegrin and metalloproteinase with thrombospondin motifs 16,,miR-3473d; miR-29a-3p; miR-29c-3p,increased total body fat amount
