Phenotype,Function,p-value (-log10),Genes
Bodycomposition,Impaired glucose tolerance,7.388276692,AKT2;CCND2;CKB;CYP19A1;DICER1;DNMT3A;EPAS1;FKBP5;FOXP1;FST;GSK3A;IDE;MC3R;MFN2;NCOR2;P2RY14;PAK1;PPARG;PPP3CA;TFEB;VDR;XBP1
Bodycomposition,Quantity of stem cells,5.818156412,ALDH2;ARID4B;CCND2;DICER1;DNMT3A;EOMES;FADD;FLT3;KMT2A;KMT2E;MECOM;MYSM1;PER2;PFKM;SFRP1;SHH;TCF7L2;TLE4;ZBTB16
Bodycomposition,Quantity of steroid,5.634512015,ACSL4;AKAP9;AKT2;ALDH2;APOE;ATP8B1;BHMT;CIDEC;CISD2;CYP19A1;DENND5B;DICER1;DLG2;DLG4;DLK1;GAS7;GHRHR;GSK3A;Gulo;HERC1;HMGN1;IMMP2L;KCNE1;LEPR;MBOAT7;NCOA1;NHLH2;NPY5R;NTRK2;PER2;PPARG;PPP3CA;RBMS1;RCAN1;RSPO1;SIK3;TCF7L2;TXNIP;UBE2J1;VDR;ZBTB16
Bodycomposition,Quantity of adipose tissue,5.634512015,AKT2;APOE;BBS2;CDC27;CIDEC;CISD2;CYP19A1;DICER1;DLK1;DNMT3A;E2F3;GHRH;KMT2E;LEPR;MAMLD1;MC3R;MRAP2;NAA10;NUCKS1;PPARG;PTPRD;SGMS1;SIK3;SLC25A21;UBE2J1;VDR
Bodycomposition,Development of neural cells,5.632644079,Adcy3;APOE;AUTS2;BECN1;CACNA2D2;CAMK1D;CELSR1;CHN1;CKB;CSMD3;CYP19A1;DICER1;DLG4;DLGAP4;DMD;ENTPD1;EOMES;FGF10;FNBP1L;FOS;FOXP2;FZD3;GABRA2;GAS7;GHRH;HDGFL3;HERC1;LINGO2;MAGI2;MFRP;MID1;MRAS;MSI2;MTURN;MYO6;NRXN1;NTRK2;PAK1;PBX3;PLXNB2;PPP3CA;PTPRD;SEMA4D;SFRP1;SFRP2;SHH;SPG11;SUN1;SUN2;TCF7L2;TENM4;TMEM108;TULP3;UBE3A;XBP1
Bodycomposition,Concentration of lipid,5.559090918,ACSL4;ADORA1;AGPAT4;AKAP9;AKT2;ALDH2;AP4E1;APOE;ATP8B1;BBS2;BECN1;BHMT;CIDEC;CISD2;CYP19A1;DENND5B;DICER1;DLG2;DLG4;DLK1;E2F3;ELMO1;ELOVL5;EPAS1;FKBP5;GAS7;GHRHR;GSK3A;Gulo;HERC1;HGSNAT;HMGN1;IMMP2L;IRAK2;KCNE1;LEPR;MBOAT7;MFN2;NAA10;NCOA1;NHLH2;NPY5R;NTRK2;PER2;PPARG;PPP3CA;RBMS1;RCAN1;RSPO1;SGMS1;SIK1;SIK3;SLC30A7;SLC40A1;TCF7L2;TXNIP;UBE2J1;VDR;XBP1;ZBTB16
Bodycomposition,Morphology of nervous system,5.339134522,Adcy3;AKT2;AP4E1;APOE;BECN1;CACNA2D2;CHN1;CKB;DICER1;DLGAP4;ENTPD1;EPB41L1;FOS;FZD3;LEPR;MAGI2;MID1;MYO6;NTRK2;PAK1;PCM1;PDCD6IP;PLXNB2;PPARG;PPP3CA;RAB23;RAB8A;RCAN1;SHH;SUN1;TCF7L2;TENM4;TRAPPC9;TULP3
Bodycomposition,Weight gain,5.304518324,AP1G1;APOE;BBS2;BHMT;CIDEC;CYP19A1;DENND5B;E2F3;EPAS1;FKBP5;FOS;GHRH;GSK3A;IRAK2;LEPR;MC3R;MFN2;MRAP2;NTRK2;NUCKS1;PER2;PPARG;RUNX2;SFRP1;SLC30A7;TACR3;UBE3A;VDR
Bodycomposition,Cellular homeostasis,5.099632871,AKT2;ALDH2;AMPD3;APOE;BECN1;C9orf72;CISD2;CYP19A1;DICER1;DMD;DMP1;DMXL2;DNMT3A;ELK4;ENTPD1;EOMES;EPAS1;FADD;FLT3;FOXP1;GHRH;GHRHR;GRIK1;GSK3A;HERC1;KCNB1;KCNE1;LEPR;MCU;MECOM;MFN2;MPZL2;MYSM1;NBEA;NCOR2;NTRK2;NUCKS1;P2RY14;PACSIN2;PAK1;PDCD6IP;PENK;PFKM;PHLPP1;POLB;PPARG;PPP2R2A;PPP3CA;RUNX2;SHH;SIK1;SIK3;SLC20A2;SLC24A3;SLC30A7;SLC40A1;SNAP47;SPG11;SPN;STIM2;STX16;SYK;TCF7L2;TFEB;TIAL1;TNFAIP1;TRPA1;TRPC3;TSPAN9;TXNIP;USP15;USP38;VDR;XBP1;XRCC5;ZBTB16
Bodycomposition,Development of neurons,4.987162775,Adcy3;APOE;AUTS2;BECN1;CACNA2D2;CAMK1D;CELSR1;CHN1;CKB;CSMD3;CYP19A1;DICER1;DLG4;DLGAP4;DMD;ENTPD1;EOMES;FGF10;FNBP1L;FOS;GABRA2;GAS7;GHRH;HDGFL3;HERC1;LINGO2;MAGI2;MFRP;MID1;MRAS;MTURN;MYO6;NRXN1;NTRK2;PAK1;PBX3;PLXNB2;PPP3CA;PTPRD;SEMA4D;SFRP1;SFRP2;SHH;SPG11;SUN1;SUN2;TENM4;TMEM108;TULP3;UBE3A;XBP1
Bodycomposition,Hypoplasia of organ,4.841637508,APOE;ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;CYP19A1;DICER1;DLK1;E2F3;FADD;FANCL;FGF10;FUT4;GHRH;KMT2E;MBOAT7;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PTPRD;RBMS1;RUNX2;SHH;SSBP2;TEAD1;TLE4;VDR;XBP1;XRCC5
Bodycomposition,Development of body axis,4.832682665,Adcy3;BBS2;CCND2;CELSR1;CISD2;CYP19A1;DCLK2;DICER1;DLG4;DLGAP4;DMP1;DMXL2;DNMT3A;ENTPD1;EOMES;EPB41L5;FGF10;FOXP2;FST;FZD3;GHRH;GHRHR;HERC1;Ifitm1;IMMP2L;KCNE1;KIF21B;KMT2A;Lefty1;MAP3K1;MBOAT7;MECOM;MFN2;MID1;MLLT3;MYO6;MYO7A;MYSM1;NCOR2;NTRK2;PAK1;PCSK5;PDGFC;PDSS2;PLXNB2;POLB;PPARG;PPP3CA;PTCHD1;PTPRD;RUNX2;SETD1A;SFRP1;SFRP2;SHH;SUN1;SUN2;TCF20;TCF7L2;TMEM108;TULP3;VPS13B;ZBTB16;ZDHHC16
Bodycomposition,Quantity of leptin in blood,4.787812396,AKT2;APOE;BBS2;CIDEC;CYP19A1;E2F3;LEPR;MC3R;MRAP2;NCOA1;NUCKS1;PER2;PPARG;SIK3
Bodycomposition,Morphology of cellular protrusions,4.73754891,APOE;CACNA2D2;CAMSAP3;CHN1;DICER1;ELMOD2;FOS;FST;MAGI2;MYO6;NTRK2;PAK1;RAB8A;RCAN1;TCF7L2;TENM4;TULP3
