Gene,GeneName,Type,miRNA,Phenotypes
1700008P02Rik,Uncharacterized protein,,miR-30e-5p; miR-30a-5p,increased total body fat amount
A830018L16Rik,A830018L16Rik protein,,miR-340-5p; miR-376b-5p,increased fasting circulating glucose level
Aak1,AP2-associated protein kinase 1,Kinase,miR-205-5p; miR-182-5p; miR-101b-3p,impaired glucose tolerance
Aasdhppt,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Enzyme,miR-101b-3p,improved glucose tolerance
Abcc5,ATP-binding cassette sub-family C member 5,Transporter,miR-101b-3p,impaired glucose tolerance
Ablim1,Actin-binding LIM protein 1,,miR-146a-5p,increased lean body mass
Acadvl,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Enzyme,miR-124-3p,impaired glucose tolerance
Acbd5,Acyl-CoA-binding domain-containing protein 5,,miR-19b-3p; miR-19a-3p,increased lean body mass; improved glucose tolerance
Acsl4,Long-chain-fatty-acid--CoA ligase 4,Enzyme,miR-340-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p; miR-145a-5p,increased total body fat amount
Adamts15,A disintegrin and metalloproteinase with thrombospondin motifs 15,Peptidase,miR-136-5p,increased circulating insulin level
Adcy1,Adenylate cyclase type 1,Enzyme,miR-124-3p; miR-19b-3p; miR-19a-3p; miR-337-3p,improved glucose tolerance
Adcy9,Adenylate cyclase type 9,Enzyme,miR-124-3p; miR-19b-3p; miR-19a-3p,increased circulating insulin level
Adgrf5,Adhesion G protein-coupled receptor F5,G-protein coupled receptor,miR-101b-3p,impaired glucose tolerance
Adpgk,ADP-dependent glucokinase,Kinase,miR-145a-5p,increased lean body mass
Adra2a,Alpha-2A adrenergic receptor,G-protein coupled receptor,miR-30e-5p; miR-182-5p; miR-30a-5p,improved glucose tolerance
Afap1l2,Actin filament-associated protein 1-like 2,,miR-30e-5p; miR-30a-5p,improved glucose tolerance
Akap13,A-kinase anchor protein 13,,miR-143-3p; miR-101b-3p,improved glucose tolerance
Akap9,A-kinase anchor protein 9,,miR-133b-3p,increased lean body mass
Akt2,RAC-beta serine/threonine-protein kinase,Kinase,miR-124-3p,increased lean body mass; increased circulating glucose level
Alg2,Programmed cell death protein 6,Enzyme,miR-124-3p,increased circulating insulin level
Ampd3,AMP deaminase 3,Enzyme,miR-143-3p,increased lean body mass
Ankhd1,Ankyrin repeat and KH domain containing 1,,miR-30e-5p; miR-30a-5p,increased circulating insulin level
Ankib1,Ankyrin repeat and IBR domain-containing protein 1,Transcription regulator,miR-340-5p; miR-182-5p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Ankrd10,Ankyrin repeat domain-containing protein 10,Transcription regulator,miR-124-3p; miR-337-3p,increased total body fat amount
Ap1g1,AP-1 complex subunit gamma-1,,miR-205-5p; miR-101b-3p; miR-145a-5p; miR-337-3p,increased total body fat amount
Ap2a1,AP-2 complex subunit alpha-1,Transporter,miR-30e-5p; miR-30a-5p,improved glucose tolerance
Ap3s1,AP-3 complex subunit sigma-1,Transporter,miR-30e-5p; miR-101b-3p; miR-30a-5p,increased fasting circulating glucose level
Ap4e1,AP-4 complex subunit epsilon-1,,miR-340-5p; miR-30e-5p; miR-30a-5p,increased lean body mass; impaired glucose tolerance
Apmap,Adipocyte plasma membrane-associated protein,Enzyme,miR-146a-5p,increased total body fat amount
Arel1,Apoptosis-resistant E3 ubiquitin protein ligase 1,Enzyme,miR-205-5p; miR-182-5p; miR-145a-5p,increased fasting circulating glucose level
Arhgap17,Rho GTPase-activating protein 17,,miR-124-3p,improved glucose tolerance
Arhgap21,Rho GTPase-activating protein 21,,miR-183-5p; miR-19b-3p; miR-19a-3p; miR-145a-5p,increased total body fat amount
Arhgef4,Rho guanine nucleotide exchange factor 4,,miR-124-3p,increased lean body mass
Arid3a,AT-rich interactive domain-containing protein 3A,Transcription regulator,miR-30e-5p; miR-30a-5p; miR-874-5p,increased circulating insulin level
Arid4b,AT-rich interactive domain-containing protein 4B,Transcription regulator,miR-30e-5p; miR-101b-3p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased lean body mass
Arl8b,ADP-ribosylation factor-like protein 8B,Enzyme,miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased fasting circulating glucose level
Arsj,Arylsulfatase J,Enzyme,miR-182-5p; miR-101b-3p,increased lean body mass
Asb7,Ankyrin repeat and SOCS box protein 7,,miR-340-5p; miR-19b-3p; miR-19a-3p,increased fasting circulating glucose level
Ascc3,Activating signal cointegrator 1 complex subunit 3,Enzyme,miR-30e-5p; miR-30a-5p,increased total body fat amount
Ash1l,Histone-lysine N-methyltransferase ASH1L,Enzyme,miR-340-5p; miR-133b-3p,increased fasting circulating glucose level
Aspa,Aspartoacylase,Enzyme,miR-124-3p,increased fasting circulating glucose level
Atf2,Cyclic AMP-dependent transcription factor ATF-2,Transcription regulator,miR-340-5p; miR-183-5p; miR-19b-3p; miR-19a-3p; miR-101b-3p,increased fasting circulating glucose level
Atl2,Atlastin-2,,miR-183-5p; miR-30e-5p; miR-19b-3p; miR-19a-3p; miR-30a-5p,increased total body fat amount
Atp13a3,Polyamine-transporting ATPase 13A3,Transporter,miR-340-5p; miR-183-5p,improved glucose tolerance
Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Transporter,miR-30e-5p; miR-30a-5p; miR-376a-3p,increased fasting circulating glucose level
Atp6v0b,V-type proton ATPase 21 kDa proteolipid subunit c'',Transporter,miR-337-3p,increased total body fat amount
Atp8b4,Phospholipid-transporting ATPase (EC 7.6.2.1),Transporter,miR-196a-5p; miR-19b-3p; miR-19a-3p,decreased lean body mass
AU040320,Expressed sequence AU040320,,miR-145a-5p,increased total body fat amount
Bach1,Transcription regulator protein BACH1,Transcription regulator,miR-196a-5p; miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Baz2b,Bromodomain adjacent to zinc finger domain protein 2B,,miR-30e-5p; miR-124-3p; miR-101b-3p; miR-30a-5p,increased total body fat amount
Bbs2,BBSome complex member BBS2,,miR-136-5p,decreased lean body mass
Bbx,HMG box transcription factor BBX,Transcription regulator,miR-101b-3p; miR-19b-3p; miR-19a-3p,increased total body fat amount
Bckdhb,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",Enzyme,miR-141-5p,increased total body fat amount
Bcl11b,B-cell lymphoma/leukemia 11B,Transcription regulator,miR-124-3p,increased fasting circulating glucose level
Becn1,Beclin-1,,miR-30e-5p; miR-30a-5p,increased total body fat amount
Bicral,BRD4-interacting chromatin-remodeling complex-associated protein-like,,miR-340-5p,increased total body fat amount
Blcap,Apoptosis inducing factor BLCAP,,miR-340-5p,increased fasting circulating glucose level
Bloc1s6,Biogenesis of lysosome-related organelles complex 1 subunit 6,,miR-124-3p,improved glucose tolerance
Bnip3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,,miR-182-5p; miR-145a-5p,impaired glucose tolerance; increased circulating insulin level
Brms1l,Breast cancer metastasis-suppressor 1-like protein,,miR-182-5p; miR-183-5p,increased total body fat amount
Btbd7,BTB/POZ domain-containing protein 7,,miR-340-5p; miR-19b-3p; miR-19a-3p,decreased lean body mass
