Phenotype,Function,p-value (-log10),Genes
Bodycomposition,Hypoplasia of organ,5.649751982,ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;DICER1;DLK1;E2F3;FADD;FGF10;FUT4;GHRH;IL31RA;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PRKCH;RBMS1;RUNX2;SSBP2;TEAD1;TLE4;VDR;XRCC5
Bodycomposition,Proliferation of neural cells,5.482804102,AKT2;CAMK1;CELSR1;CHN1;DICER1;DLGAP4;E2F3;EMX1;EPAS1;F2;FZD3;GAS7;GHRH;HDGFL3;IDE;KDM4C;LEPR;MSI2;NCOR2;NTRK2;PLXNB2;PPARG;PPP5C;RAB23;RSU1;SYK;TCF7L2;TULP3;UBE3A
Bodycomposition,Hypoplasia,5.250263684,AKT2;ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;DICER1;DLK1;E2F3;FADD;FGF10;FUT4;GHRH;IL31RA;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PRKCH;RBMS1;RUNX2;SSBP2;TEAD1;TLE4;VDR;XRCC5
Bodycomposition,Abnormal morphology of head,5.055024092,BBS2;CACNA2D2;CCND2;CHN1;CHRNB2;CISD2;CSMD3;DBN1;DICER1;DLK1;E2F3;EHMT1;ELMOD1;EMX1;ENTPD1;FGF10;FLNB;FOS;FOXP2;FST;LRRK1;MECOM;NAA10;NCOA1;NCOR2;NTRK2;PBX3;PDCD6IP;PEAK1;PER2;PLXNB2;PRKCH;PTH1R;RAB28;RREB1;RUNX2;SCARB2;SIK3;SUN1;TCF7L2;UBE3A;VDR;VPS13B;XRCC5
Bodycomposition,Aplasia or hypoplasia,5.006123085,AKT2;ARID4B;CACNA2D2;CBX4;CCND2;CNOT7;DICER1;DLK1;E2F3;EMX1;FADD;FGF10;FUT4;GHRH;IL31RA;MECOM;NCOA1;NHLH2;PBX3;PCSK5;PPARG;PRKCH;RBMS1;RUNX2;SSBP2;TEAD1;TLE4;VDR;XRCC5
Bodycomposition,Morphology of cellular protrusions,4.991399828,CACNA2D2;CHN1;DICER1;ELMOD2;FOS;FST;MAGI2;MYO6;NTRK2;RAB8A;SHTN1;TCF7L2;TENM4;TULP3
Bodycomposition,Activation of DNA endogenous promoter,4.91721463,ABLIM1;ARID4B;CBX4;CNOT7;DICER1;EHMT1;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GZF1;KMT2A;MECOM;NCOA1;NCOR2;NHLH2;NUCKS1;PBX3;PER2;PIAS2;PPARG;PPP3CA;RREB1;RUNX2;SEMA4D;SFRP2;SLC40A1;TCF20;TCF7L2;TEAD1;TFAP4;TFEB;TLE4;UBE3A;YLPM1;ZNF462;ZNF746
Bodycomposition,Transcription of RNA,4.869666232,ABLIM1;ARID4B;CBX4;CNOT7;DICER1;DMD;DNMT3A;E2F3;EHMT1;ELK4;EPAS1;EPC1;FGF10;FOS;FOXP1;FOXP2;GZF1;KMT2A;MAGI2;MAP3K1;MECOM;NCOA1;NCOR2;NHLH2;NSD3;NUCKS1;PBX3;PER2;PIAS2;PPARG;PPP3CA;RREB1;RUNX2;SEMA4D;SFRP2;SLC40A1;TCF20;TCF7L2;TEAD1;TFAP4;TFEB;TLE4;TOPORS;UBE3A;VDR;YLPM1;ZNF462;ZNF746
Bodycomposition,Cellular homeostasis,4.853871964,AKT2;AMPD3;BECN1;C9orf72;CAMK1;CHRNB2;CISD2;CYB561;DICER1;DMD;DMXL2;DNMT3A;ELK4;ENTPD1;EPAS1;F2;FADD;FOXP1;GHRH;LEPR;MCU;MECOM;MPZL2;MYSM1;NBEA;NCOR2;NTRK2;NUCKS1;PDCD6IP;PPARG;PPP2R2A;PPP3CA;PRKCH;PTH1R;RUNX2;SIK3;SLC20A2;SLC24A3;SLC30A7;SLC40A1;SNAP47;SPN;SST;STIM2;STX16;SYK;TCF7L2;TFAP4;TFEB;TSPAN9;TTC7A;USP15;USP38;VDR;XRCC5
Bodycomposition,Morphology of nervous system,4.774690718,AKT2;AP4E1;BECN1;CACNA2D2;CHN1;DICER1;DLGAP4;ENTPD1;FOS;FZD3;LEPR;MAGI2;MYO6;NTRK2;PDCD6IP;PLXNB2;PPARG;PPP3CA;RAB23;RAB8A;SHTN1;SUN1;TCF7L2;TENM4;TULP3
