Phenotype,Pathway,p-value (-log10),Genes
Glucose,Senescence ,4.75,AKT2;CACNA2D1;CACNB2;CCND2;CDKN1B;E2F3;FOXO3;KAT2B;MCU;NFAT5;NRAS;PARP1;PPP2R1B;RBL1
Glucose,Synaptogenesis Signaling ,3.81,ADCY1;AKT2;AP2A1;ATF2;CACNA2D1;CACNB2;CAMK2B;EFNA5;FARP1;GRM3;NRAS;STX16;STXBP1
Insulin,Protein Kinase A Signaling,3.81,ADCY9;DUSP3;ELK1;LIPE;PRKD1
Glucose,SNARE Signaling ,3.56,ADCY1;CACNA2D1;CACNB2;CAMK2B;MYH10;RAB11A;STX16;STXBP1
Bodycomposition,SUMOylation of transcription cofactors,3.25,CBX4;NCOA1;NCOR2;PIAS2;TOPORS
Glucose,Protein Ubiquitination ,3.25,DNAJC5G;HSPB3;NEDD4;UBE2W;UBE4A;USP12;USP15;USP30;USP31;USP36;USP47
Insulin,Renin-Angiotensin Signaling,3.25,ADCY9;ELK1;PRKD1
Glucose,Dilated Cardiomyopathy Signaling ,3.24,ADCY1;AKT2;ATP2A2;CACNA2D1;CACNB2;CAMK2B;LMNA;MYH10
Bodycomposition,Chromatin organization,3.07,ARID4B;DNMT3A;EHMT1;EPC1;KDM4C;KMT2A;MECOM;MTA1;NCOA1;NCOR2;NSD3
Insulin,MAPK targets/ Nuclear events mediated by MAP kinases,3.04,DUSP3;ELK1
Bodycomposition,Class I MHC mediated antigen processing and presentation,3.02,BECN1;CDC27;FBXL3;FBXO11;HERC3;ITCH;KBTBD8;KLHL42;SEC23A;TRIM37;UBE2D3;UBE2J1;UBE3A;UBE3C;UBE4A
Glucose,Pre-NOTCH Expression and Processing,3,ATP2A2;E2F3;KAT2B;NOTCH3;RBPJ
Insulin,Corticotropin Releasing Hormone Signaling,2.96,ADCY9;ELK1;PRKD1
Glucose,FLT3 Signaling,2.89,AKT2;CDKN1B;FOXO3;NRAS
Bodycomposition,RIPK1-mediated regulated necrosis,2.88,FADD;ITCH;PDCD6IP;PELI1
Insulin,CXCR4 Signaling,2.86,ADCY9;ELK1;PRKD1
Glucose,RHO GTPase cycle,2.84,ACBD5;AKAP13;ARHGAP17;CPD;DBN1;FARP1;NISCH;OSBPL11;STEAP3;STK38;TRIO;VANGL2;VAPB;WDR6
Glucose,FOXO-mediated transcription,2.79,AKT2;FOXO3;KAT2B
