Gene ,Gene Name,miRNA ,Target Score,Human
Chn1,chimerin 1,miR-205-5p,100,✓
Hoxc8,homeobox C8,miR-196a-5p,100,✓
Cdh9,cadherin 9,miR-340-5p,100,✓
Adgrb3,adhesion G protein-coupled receptor B3,miR-340-5p,100,✓
Stxbp4,syntaxin binding protein 4,miR-340-5p,100,✓
Kcnk1,"potassium channel, subfamily K, member 1",miR-340-5p,100,✓
Dmd,"dystrophin, muscular dystrophy",miR-340-5p,100,✓
Kctd14,potassium channel tetramerisation domain containing 14,miR-340-5p,100,✓
Esyt2,extended synaptotagmin-like protein 2,miR-340-5p,100,✓
Tpp2,tripeptidyl peptidase II,miR-340-5p,100,✓
Tagln2,transgelin 2,miR-133b-3p,99,✓
Maml1,mastermind like transcriptional coactivator 1,miR-133b-3p,99,✓
Ptbp1,polypyrimidine tract binding protein 1,miR-133b-3p,99,✓
Mgrn1,"mahogunin, ring finger 1",miR-205-5p,99,✓
Plcb1,"phospholipase C, beta 1",miR-205-5p,99,✓
Map3k2,mitogen-activated protein kinase kinase kinase 2,miR-340-5p,99,✓
G2e3,G2/M-phase specific E3 ubiquitin ligase,miR-340-5p,99,✓
Dnajc25,DnaJ heat shock protein family (Hsp40) member C25,miR-340-5p,99,✓
Ttbk2,tau tubulin kinase 2,miR-340-5p,99,✓
Gatad1,GATA zinc finger domain containing 1,miR-340-5p,99,✓
Skp2,S-phase kinase-associated protein 2 (p45),miR-340-5p,99,✓
Jph1,junctophilin 1,miR-340-5p,99,✓
Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2",miR-340-5p,99,✓
Pabpc5,"poly(A) binding protein, cytoplasmic 5",miR-340-5p,99,✓
Cyfip1,cytoplasmic FMR1 interacting protein 1,miR-340-5p,99,✓
Smarcad1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1",miR-340-5p,99,✓
Galnt13,polypeptide N-acetylgalactosaminyltransferase 13,miR-340-5p,99,✓
Uba2,ubiquitin-like modifier activating enzyme 2,miR-133b-3p,98,✓
Lhfp,lipoma HMGIC fusion partner,miR-133b-3p,98,✓
Slc6a1,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1",miR-133b-3p,98,✓
Gabpb2,"GA repeat binding protein, beta 2",miR-133b-3p,98,✓
Gpm6a,glycoprotein m6a,miR-133b-3p,98,✓
